"Company_name","Company_activity","Company_url","Company_url_url","Company_geography","Company_employees","Company_AIuse","Company_min","Company_logo","Company_logo_url"
"nexocode","Artificial Intelligence Experts for Your Business!","Visit Website","https://www.nexocode.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Kraków, Poland","10 - 49","60% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/84cb2687a79060eab7c9530bd965db1d.png","https://clutch.co/profile/nexocode"
"Softarex Technologies","Custom software development services","Visit Website","https://softarex.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=artificial-intelligence","Alexandria, VA","50 - 249","35% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo11.jpg","https://clutch.co/profile/softarex-technologies"
"InData Labs","Your Data Science & AI Business Partner","Visit Website","https://indatalabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Nicosia, Cyprus","50 - 249","60% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/twitter_2.jpg","https://clutch.co/profile/indata-labs"
"ITRex Group","One-Stop-Shop For Emerging Technology Solutions","Visit Website","https://itrexgroup.com/services/artificial-intelligence/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Santa Monica, CA","250 - 999","35% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/a6976d70513b918c6152d2fe278971ac.png","https://clutch.co/profile/itrex-group"
"Zfort Group","Web & Mobile Development, Artificial Intelligence","Visit Website","https://www.zfort.com/ai-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Kharkiv, Ukraine","250 - 999","30% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/zfort_social_logo.png","https://clutch.co/profile/zfort-group"
"CHI Software","We solve real-life challenges with solutions.","Visit Website","https://chisw.com/our-expertise/?utm_source=clutch.co&utm_medium=referral&utm_campaign=artificial-intelligence-companies","Kharkiv, Ukraine","250 - 999","20% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/chi_software.png","https://clutch.co/profile/chi-software"
"AndPlus","AI, Web, Mobile, IoT, App Design & Development","Visit Website","http://www.andplus.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Southborough, MA","50 - 249","15% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/136d823287b5d6558c63968472e83ba5.png","https://clutch.co/profile/andplus"
"Exometrics","Artificial Intelligence Software for Enterprise","Visit Website","https://www.exo-metrics.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","London, United Kingdom","2 - 9","60% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/025481250a0afa859f7777d14bed484b.png","https://clutch.co/profile/exometrics"
"BIX Technology","Business Intelligence and Data Services","Visit Website","http://www.bixtecnologia.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Florianópolis, Brazil","10 - 49","30% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/e989ff2ab234f3aafb0071f7f01cb249.png","https://clutch.co/profile/bix-technology"
"CVisionLab","Rescue team for Computer Vision Startups","Visit Website","https://www.cvisionlab.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Taganrog, Russia","10 - 49","80% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/b9ce664035a24247864d24807a748ea4.png","https://clutch.co/profile/cvisionlab"
"Rootstrap","Outcome-driven development. At any scale.","Visit Website","http://www.rootstrap.com/?utm_source=clutch.co&utm_medium=referral","West Hollywood, CA","50 - 249","27% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/17523537_1017408391726275_343919847749248900_n_1.png","https://clutch.co/profile/rootstrap"
"APRO Software","Results-oriented AI, mobile and web developers","Visit Website","https://apro-software.com/clutch-co/","Minsk, Belarus","10 - 49","60% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/d69bd4b1b53dc51acf5ed63a26567f89.jpeg","https://clutch.co/profile/apro-software"
"Talentica Software","Startup's One-Stop Software Development Partner","Visit Website","https://www.talentica.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Pune, India","250 - 999","25% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/talentica.png","https://clutch.co/profile/talentica-software"
"Iflexion","Advanced Web Solutions & Enterprise Web Apps","Visit Website","https://www.iflexion.com/?utm_source=clutch.co&utm_medium=referral","Denver, CO","250 - 999","25% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/1d3012c6187996913d618588045f1a00.png","https://clutch.co/profile/iflexion"
"Maruti Techlabs","Product Development Partner for SMBs & Enterprises","Visit Website","https://www.marutitech.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Ahmedabad, India","50 - 249","40% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/c31af239cd6743cd1a514ba66ac7fd36.png","https://clutch.co/profile/maruti-techlabs"
"DataArt","Global Software Engineering Firm","Visit Website","https://www.dataart.com/services-and-technology?show_clutch_modal=true/?utm_source=themanifest.com&utm_medium=referral&utm_campaign=developers-artificial-intelligence","New York, NY","1,000 - 9,999","20% Artificial Intelligence","$100,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/dataart_logo.jpg","https://clutch.co/profile/dataart"
"Digica","Deep Learning in Computer Vision, Machine Learning","Visit Website","https://www.digica.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Broadheath, Altrincham, United Kingdom","50 - 249","70% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/b937019537928ad27b4c57149c21c8ca.jpeg","https://clutch.co/profile/digica"
"Belitsoft","Full Cycle Software Development Company","Visit Website","https://belitsoft.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Minsk, Belarus","250 - 999","20% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/2019-06-20_18-35-40.png","https://clutch.co/profile/belitsoft"
"AI Superior","AI and Machine Learning custom solutions","Visit Website","https://aisuperior.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=artificial-intelligence","Darmstadt, Germany","10 - 49","90% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/ab40b2c672278a93c3a92261d1c71e06.jpeg","https://clutch.co/profile/ai-superior"
"Anadea","Intelligent custom software for your business","Visit Website","http://anadea.info/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Dnipro, Ukraine","50 - 249","33% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/ebd1dc1882bd7b43580f63119f62d61b.png","https://clutch.co/profile/anadea"
"Intetics Inc.","Where Software Concepts Come Alive™","Visit Website","https://intetics.com/?utm_source=Clutch&utm_medium=directory&utm_campaign=Clutch","Naples, FL","250 - 999","10% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/34eb12667f6a0806d42426cd066083e9.png","https://clutch.co/profile/intetics"
"Mindy Support","Cost-Effective BPO and Customer Support","Visit Website","https://mindy-support.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Agios Athanasios, Cyprus","1,000 - 9,999","30% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/mindy_support_icon_for_fb_180x180_no_background_2.png","https://clutch.co/profile/mindy-support"
"Miquido","Google Certified Agency | mobile | web | AI","Visit Website","https://www.miquido.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Kraków, Poland","50 - 249","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/violet_0.png","https://clutch.co/profile/miquido"
"Quytech","Mobile Apps, AR/VR, AI, Game Development Company","Visit Website","https://www.quytech.com/?utm_source=clutch&utm_medium=referral","Gurugram, India","50 - 249","20% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo_quytech_logo_twitter.png","https://clutch.co/profile/quytech"
"STX Next","Python Powerhouse - Web & Mobile development teams","Visit Website","https://www.stxnext.com/services/machine-learning/?utm_source=clutch&utm_medium=referral&utm_campaign=clutch-AI","Poznań, Poland","250 - 999","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/stxnext_logo-x-greengradient2x.png","https://clutch.co/profile/stx-next"
"Conlan Scientific","Financial Data Science Experts","Visit Website","https://conlanscientific.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Bethesda, MD","2 - 9","100% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/a9065e316a790f1e12ee2e85fd17d034.png","https://clutch.co/profile/conlan-scientific"
"Moove It","Developing Impact.","Visit Website","http://www.moove-it.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Austin, TX","50 - 249","15% Artificial Intelligence","$100,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/228x228-dark.png","https://clutch.co/profile/moove-it"
"Software Mind","Software House focused on results since 1999","Visit Website","http://softwaremind.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Kraków, Poland","250 - 999","15% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/sm-sygnet_0.png","https://clutch.co/profile/software-mind"
"Lucid Reality Labs","AR/VR solutions for Healthcare, Pharma, Education","Visit Website","https://lucidrealitylabs.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Miami, FL","10 - 49","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/9b7146620c6579b69ff7e2428c8ac112.jpg","https://clutch.co/profile/lucid-reality-labs"
"mTraction Enterprise","Reinventing 360° Digital Transformation","Visit Website","https://enterprise.affle.com/mobile-app-development/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Singapore","50 - 249","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/d833319f276e7b9e9ad0f12d888b686d_3.png","https://clutch.co/profile/mtraction-enterprise"
"Dogtown Media","Creating the Mobile Future","Visit Website","https://www.dogtownmedia.com/?utm_source=clutch&utm_medium=referral","Los Angeles, CA","10 - 49","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/dogtown_logo_icon_square_2014.png","https://clutch.co/profile/dogtown-media"
"FRANKHOOD","Your Technical Partner in Digital Transformation","Visit Website","https://www.frankhood.it/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Bari, Italy","10 - 49","40% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/617d57909891a38bb3f453f8b322785c.png","https://clutch.co/profile/frankhood"
"Maxiom Technology","Custom software development, on-demand teams, 24/7","Visit Website","https://www.maxiomtech.com/services/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Ashburn, VA","10 - 49","10% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/maxiom-positiveplain.png","https://clutch.co/profile/maxiom-technology"
"Trigma","Triggering Imagination","Visit Website","http://www.trigma.com/?utm_source=clutch.co&utm_medium=referral","Las Vegas, NV","50 - 249","15% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/7a2ace01881df248ea345d82e535b846.jpeg","https://clutch.co/profile/trigma"
"Nybble Group","Smarter Teams, Better Solutions.","Visit Website","https://nybblegroup.com/","Miami, FL","50 - 249","20% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/6329a365153d83d22e9e3000d8f82692_1.png","https://clutch.co/profile/nybble-group"
"Grape Up","Building your most impactful Cloud & AI apps","Visit Website","https://grapeup.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Kraków, Poland","50 - 249","10% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/d7b5f29166e1e3218733b983e7c24c31.jpeg","https://clutch.co/profile/grape-2"
"Folio3","Innovation as a Service","Visit Website","http://www.folio3.com/?utm_source=clutch.co&utm_medium=referral","Belmont, CA","250 - 999","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/9133fa8f1064c34e1204a0b645625f68.png","https://clutch.co/profile/folio3"
"TechSpeed Inc","DATA PROCESSING & A.I SUPPORT SERVICES","Visit Website","http://www.techspeed.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Portland, OR","50 - 249","40% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/profilepic_2.jpg","https://clutch.co/profile/techspeed"
"RevolveAI","One platform for all AI solutions","Visit Website","https://www.revolveai.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Islamabad, Pakistan","10 - 49","100% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/0cb4f272c99dea21590da96075396ac8.png","https://clutch.co/profile/revolveai"
"Altar.io","Product & Software Development Agency","Visit Website","https://altar.io/?atm_id=MS41ODkyOTg1MTg2OThFMTI=","Lisboa, Portugal","10 - 49","20% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/logo_plexus_2-03.png","https://clutch.co/profile/altario"
"AE Studio","We Build Great Technology Products.","Visit Website","https://ae.studio/?utm_source=clutch.co&utm_medium=referral","Los Angeles, CA","10 - 49","20% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/ae_studio_logo_square.png","https://clutch.co/profile/ae-studio"
"UruIT","Your digital product development studio","Visit Website","https://uruit.com/?utm_source=clutch.co&utm_medium=referral","Los Angeles, CA","50 - 249","10% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/d1454c44c831c70d59c1ff75f3e027ec.png","https://clutch.co/profile/uruit"
"Sparkfish","Custom Software, Mobile, & Web App Development","Visit Website","https://www.sparkfish.com/?utm_source=clutch.co&utm_medium=referral","Addison, TX","10 - 49","20% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/mark_dark.png","https://clutch.co/profile/sparkfish"
"Light IT","Deep tech expertise for Startups and Enterprises","Visit Website","http://light-it.net/?utm_source=clutch.co&utm_medium=referral","Zaporizhzhia, Ukraine","50 - 249","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/1290x1290_72dpi_fb.png","https://clutch.co/profile/light-it-0"
"HatchWorks Technologies","Ignite. Accelerate. Succeed.","Visit Website","http://www.hatchworks.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Atlanta, GA","50 - 249","10% Artificial Intelligence","$75,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/hw_logo.png","https://clutch.co/profile/hatchworks-technologies"
"Elasticiti","Accelerating Data Science and Data Engineering","Visit Website","https://www.elasticiti.com/","New York, NY","10 - 49","40% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/4414898b68d6055cbfa8fc3fd0643978.jpeg","https://clutch.co/profile/elasticiti"
"Codewave Technologies","Design thinking Led Digital Transformation Company","Visit Website","https://www.codewave.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Bengaluru, India","50 - 249","11% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/codewave-new-logo.png","https://clutch.co/profile/codewave-technologies"
"Apriorit","Managed R&D teams for your challenging projects","Visit Website","https://www.apriorit.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Wilmington, DE","50 - 249","15% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/apriorit_logo_200x200s.png","https://clutch.co/profile/apriorit"
"TheAppLabb","Ideas Made Mobile","Visit Website","https://theapplabb.com/?utm_source=clutch&utm_medium=referral&utm_campaign=Directory","Toronto, Canada","50 - 249","15% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/tal_tagline_logo_v01.png","https://clutch.co/profile/theapplabb"
"Smith.ai","24/7 live agents for phone, chat, SMS & Facebook","Visit Website","https://smith.ai/?utm_source=clutch.co&utm_medium=review_site","Los Altos, CA","250 - 999","10% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/58740cae0a7793b7afb62892330cce08.png","https://clutch.co/profile/smithai"
"TekRevol","Global app development leaders","Visit Website","https://www.tekrevol.com/app-development?utm_source=clutch&utm_medium=clutch&utm_campaign=clutch%20page&utm_id=clutch-artificial-intelligence","Houston, TX","50 - 249","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/tekrevol_logo.png","https://clutch.co/profile/tekrevol"
"Wildebeest","Hands-on digital agency for creative brands","Visit Website","https://wildebee.st/?utm_source=clutch.co&utm_medium=referral","Marina del Rey, CA","2 - 9","10% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/21c871dfdeecda06da112a6321db7272.jpeg","https://clutch.co/profile/wildebeest"
"Zackriya Solutions","To make businesses efficient and profitable","Visit Website","https://www.zackriya.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Chennai, India","2 - 9","50% Artificial Intelligence","$1,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/1b5aaca13306d7f38881f808a31ae83d.jpg","https://clutch.co/profile/zackriya-solutions"
"Codetribe","Building Alliances With Creative Minds","Visit Website","https://codetri.be/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Novi Sad, Serbia","50 - 249","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/d3ad25da5bb4f62a1375525bcf396da8_0.png","https://clutch.co/profile/codetribe"
"Synergo Group","Custom Software and App Development in Toronto","Visit Website","https://www.synergogroup.net/?utm_source=clutch&utm_medium=cpc&utm_campaign=clutch.co%20URL","Toronto, Canada","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/synergo-logo-v3.png","https://clutch.co/profile/synergo-group"
"Headspring","Software strategy and development consultancy","Visit Website","https://headspring.com/?utm_source=clutch.co&utm_medium=referral","Austin, TX","50 - 249","10% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/headspring.jpg","https://clutch.co/profile/headspring"
"ENBISYS","Social Welfare through Technologies","Visit Website","http://www.enbisys.com/?utm_source=clutch.co&utm_medium=referral","Warmond, Netherlands","50 - 249","25% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/enbisys_logo.gif","https://clutch.co/profile/enbisys"
"Lateral Inc.","Software on time, on budget and on quality","Visit Website","http://www.lateral-inc.com/","Cluj-Napoca, Romania","50 - 249","20% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/lateral_inc.jpg","https://clutch.co/profile/lateral"
"Digital Scientists","Software and mobile app development","Visit Website","https://digitalscientists.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=developers-artificial-intelligence","Alpharetta, GA","10 - 49","15% Artificial Intelligence","$50,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/c24bca98889aef9df269d764306d5443.jpeg","https://clutch.co/profile/digital-scientists"
"Eden Agency","App, Web, UX Design, DX & Innovation Specialists","Visit Website","https://eden.agency/expert/digital-agency?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Harrogate, United Kingdom","10 - 49","10% Artificial Intelligence","Undisclosed","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/edenagency_emblem_red.png","https://clutch.co/profile/eden-agency"
"NIX","Enterprise Software, Data Analytics & BI Solutions","Visit Website","https://nix-united.com/services/business-intelligence-services-bi/?utm_source=clutch.co&utm_medium=referral","Saint Petersburg, FL","1,000 - 9,999","10% Artificial Intelligence","$25,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/nix_200x200.png","https://clutch.co/profile/nix"
"WillDom","Connect. Empower. Inspire.","Visit Website","https://willdom.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Fort Lauderdale, FL","50 - 249","10% Artificial Intelligence","$10,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/b9f775e6beb5b74a291dfb41c628f1b5.jpeg","https://clutch.co/profile/willdom"
"Toucan Systems","Interactive IT - Science, Engineering & Art","Visit Website","https://www.toucan-systems.pl/en/","Gdańsk, Poland","10 - 49","20% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/ts_v_b3x.png","https://clutch.co/profile/toucan-systems"
"Addevice","IN PROCESS WE TRUST","Visit Website","http://addevice.io/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Yerevan, Armenia","10 - 49","10% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/0b9a949a0b99c5911a368cab6f5be61c.png","https://clutch.co/profile/addevice"
"agileful","We turn ideas into products in agile environment","Visit Website","https://agileful.com/?utm_source=clutch.co&utm_medium=referral&utm_campaign=directory","Berlin, Germany","10 - 49","30% Artificial Intelligence","$5,000+","https://img.shgstatic.com/clutchco-static/image/scale/65x65/s3fs-public/logos/1862cce1bbe7759ea5cd5a2e0da11d98.jpeg","https://clutch.co/profile/agileful"
