"","company","gi_page","name","value"
"35","reports/37_interactive_enter/2019/2018_social_responsibility_report_of_wuhu_shunrong_sanqi_interactive_entertainment_network_technology_co_ltd.pdf","42","1","No GRI code found"
"36","reports/37_interactive_enter/2019/2018_social_responsibility_report_of_wuhu_shunrong_sanqi_interactive_entertainment_network_technology_co_ltd.pdf","43","1","No GRI code found"
"37","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","nothing found","No pages/tables found","None"
"38","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","47","1","No GRI code found"
"39","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","47","2","No GRI code found"
"40","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","47","3","No GRI code found"
"41","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","48","1","No GRI code found"
"42","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","49","1","No GRI code found"
"43","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","50","401","c(""401"", ""1"", ""401"", ""2"")"
"44","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","50","403","c(""403"", ""5"", ""403"", ""9"")"
"45","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","50","404","c(""404"", ""1"", ""404"", ""2"")"
"46","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","50","405","c(""405"", ""2"")"
"47","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","50","413","c(""413"", ""1"")"
"48","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","50","416","c(""416"", ""1"")"
"49","reports/atsokkos_hotels_publ/2019/corporate_social_responsibility_report_2018.pdf","50","418","c(""418"", ""1"")"
"50","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","nothing found","No pages/tables found","None"
"51","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","42","1","No GRI code found"
"52","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","42","2","No GRI code found"
"53","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","42","3","No GRI code found"
"54","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","43","1","No GRI code found"
"55","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","44","1","No GRI code found"
"56","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","45","401","c(""401"", ""1"")"
"57","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","45","403","c(""403"", ""1"", ""4"", ""03"", ""2"")"
"58","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","45","404","c(""404"", ""1"", ""404"", ""2"")"
"59","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","45","405","c(""405"", ""2"")"
"60","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","45","413","c(""413"", ""1"")"
"61","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","45","416","c(""416"", ""1"")"
"62","reports/atsokkos_hotels_publ/2018/csr_report_2017.pdf","45","418","c(""418"", ""1"")"
"63","reports/a2a_spa/2019/integrated_report_2018.pdf","nothing found","No pages/tables found","None"
"64","reports/a2a_spa/2019/integrated_report_2018.pdf","nothing found","No pages/tables found","None"
"65","reports/abb_ltd/2019/sustainability_report_2018_shaping_a_sustainable_world.pdf","43","1","No tables to process"
"66","reports/abb_ltd/2019/sustainability_report_2018_shaping_a_sustainable_world.pdf","44","1","No tables to process"
"67","reports/abb_ltd/2019/sustainability_report_2018_shaping_a_sustainable_world.pdf","45","1","No tables to process"
"68","reports/abb_ltd/2019/sustainability_report_2018_shaping_a_sustainable_world.pdf","46","401-1","character(0)"
"69","reports/abb_ltd/2019/sustainability_report_2018_shaping_a_sustainable_world.pdf","47","1","No tables to process"
"70","reports/abdi_ibrahim/2019/abdi_ibrahim_sustainability_report_20172018.pdf","nothing found","No pages/tables found","None"
"71","reports/abdi_ibrahim/2019/abdi_ibrahim_sustainability_report_20172018.pdf","nothing found","No pages/tables found","None"
"72","reports/abertis/2020/consolidated_management_report_fy_2019.pdf","49","1","No tables to process"
"73","reports/abertis/2020/consolidated_management_report_fy_2019.pdf","nothing found","No pages/tables found","None"
"74","reports/abertis/2020/consolidated_management_report_fy_2019.pdf","51","1","No GRI code found"
"75","reports/abertis/2020/consolidated_management_report_fy_2019.pdf","52","1","No tables to process"
"76","reports/abertis/2020/consolidated_management_report_fy_2019.pdf","53","1","No tables to process"
"77","reports/absa_group_limited/2020/2019_environmental_social_and_governance_report.pdf","nothing found","No pages/tables found","None"
"78","reports/absa_group_limited/2020/2019_environmental_social_and_governance_report.pdf","2","1","No GRI code found"
"79","reports/absa_group_limited/2020/2019_environmental_social_and_governance_report.pdf","nothing found","No pages/tables found","None"
"80","reports/absa_group_limited/2020/2019_environmental_social_and_governance_report.pdf","nothing found","No pages/tables found","None"
"81","reports/absa_group_limited/2020/2019_environmental_social_and_governance_report.pdf","5","1","No GRI code found"
"82","reports/abu_qir_fertilizers/2019/40_years_of_responsible_leadership.pdf","nothing found","No pages/tables found","None"
"83","reports/abu_qir_fertilizers/2019/40_years_of_responsible_leadership.pdf","140","1","No GRI code found"
"84","reports/abu_qir_fertilizers/2019/40_years_of_responsible_leadership.pdf","141","1","No GRI code found"
"85","reports/abu_qir_fertilizers/2019/40_years_of_responsible_leadership.pdf","142","1","No GRI code found"
"86","reports/abu_qir_fertilizers/2019/40_years_of_responsible_leadership.pdf","143","1","No GRI code found"
"87","reports/accenture/2020/corporate_citizenship_report_2019.pdf","8","1","No GRI code found"
"88","reports/accenture/2020/corporate_citizenship_report_2019.pdf","nothing found","No pages/tables found","None"
"89","reports/accenture/2020/corporate_citizenship_report_2019.pdf","nothing found","No pages/tables found","None"
"90","reports/accenture/2020/corporate_citizenship_report_2019.pdf","nothing found","No pages/tables found","None"
"91","reports/accenture/2020/corporate_citizenship_report_2019.pdf","nothing found","No pages/tables found","None"
"92","reports/accenture/2019/corporate_citizenship_report_2018.pdf","nothing found","No pages/tables found","None"
"93","reports/accenture/2019/corporate_citizenship_report_2018.pdf","nothing found","No pages/tables found","None"
"94","reports/accenture/2019/corporate_citizenship_report_2018.pdf","nothing found","No pages/tables found","None"
"95","reports/accenture/2019/corporate_citizenship_report_2018.pdf","nothing found","No pages/tables found","None"
"96","reports/accenture/2019/corporate_citizenship_report_2018.pdf","nothing found","No pages/tables found","None"
"97","reports/accenture_spain/2019/comprometidos_con_el_negocio_responsable_y_con_la_sostenibilidad.pdf","nothing found","No pages/tables found","None"
"98","reports/accenture_spain/2019/comprometidos_con_el_negocio_responsable_y_con_la_sostenibilidad.pdf","nothing found","No pages/tables found","None"
"99","reports/accenture_spain/2019/comprometidos_con_el_negocio_responsable_y_con_la_sostenibilidad.pdf","154","1","No tables to process"
"100","reports/accenture_spain/2019/comprometidos_con_el_negocio_responsable_y_con_la_sostenibilidad.pdf","155","1","No tables to process"
"101","reports/accenture_spain/2019/comprometidos_con_el_negocio_responsable_y_con_la_sostenibilidad.pdf","nothing found","No pages/tables found","None"
"102","reports/accenture_spain/2019/informe_de_responsabilidad_empresarial_espana_2018.pdf","nothing found","No pages/tables found","None"
"103","reports/accenture_spain/2019/informe_de_responsabilidad_empresarial_espana_2018.pdf","nothing found","No pages/tables found","None"
"104","reports/acciona/2020/memoria_de_sostenibilidad_2019.pdf","236","1","No GRI code found"
"105","reports/acciona/2020/memoria_de_sostenibilidad_2019.pdf","nothing found","No pages/tables found","None"
"106","reports/acciona/2020/memoria_de_sostenibilidad_2019.pdf","nothing found","No pages/tables found","None"
"107","reports/acciona/2020/memoria_de_sostenibilidad_2019.pdf","nothing found","No pages/tables found","None"
"108","reports/acciona/2020/memoria_de_sostenibilidad_2019.pdf","nothing found","No pages/tables found","None"
"109","reports/acciona/2019/memoria_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"110","reports/acciona/2019/memoria_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"111","reports/acciona/2019/memoria_de_sostenibilidad_2018.pdf","232","1","No GRI code found"
"112","reports/acciona/2019/memoria_de_sostenibilidad_2018.pdf","232","2","No GRI code found"
"113","reports/acciona/2019/memoria_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"114","reports/acciona/2019/memoria_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"115","reports/acciona/2018/memoria_de_sostenibilidad_2017.pdf","nothing found","No pages/tables found","None"
"116","reports/acciona/2018/memoria_de_sostenibilidad_2017.pdf","nothing found","No pages/tables found","None"
"117","reports/acciona/2018/memoria_de_sostenibilidad_2017.pdf","252","1","No GRI code found"
"118","reports/acciona/2018/memoria_de_sostenibilidad_2017.pdf","253","1","No GRI code found"
"119","reports/acciona/2018/memoria_de_sostenibilidad_2017.pdf","254","1","No GRI code found"
"120","reports/acea/2020/bilancio_di_sostenibilita_gruppo_acea.pdf","218","1","No GRI code found"
"121","reports/acea/2020/bilancio_di_sostenibilita_gruppo_acea.pdf","nothing found","No pages/tables found","None"
"122","reports/acea/2020/bilancio_di_sostenibilita_gruppo_acea.pdf","nothing found","No pages/tables found","None"
"123","reports/acea/2020/bilancio_di_sostenibilita_gruppo_acea.pdf","nothing found","No pages/tables found","None"
"124","reports/acea/2020/bilancio_di_sostenibilita_gruppo_acea.pdf","nothing found","No pages/tables found","None"
"125","reports/aceing_sac/2019/reporte_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"126","reports/aceing_sac/2019/reporte_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"127","reports/acenavir_sac/2019/reporte_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"128","reports/acenavir_sac/2019/reporte_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"129","reports/aceros_arequipa/2019/reporte_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"130","reports/aceros_arequipa/2019/reporte_de_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"131","reports/activa_mutua/2018/memoria_de_sostenibilidad_2017.pdf","nothing found","No pages/tables found","None"
"132","reports/activa_mutua/2018/memoria_de_sostenibilidad_2017.pdf","nothing found","No pages/tables found","None"
"133","reports/activa_mutua/2018/memoria_de_sostenibilidad_2017.pdf","231","1","No tables to process"
"134","reports/activa_mutua/2018/memoria_de_sostenibilidad_2017.pdf","232","1","No GRI code found"
"135","reports/activa_mutua/2018/memoria_de_sostenibilidad_2017.pdf","233","1","No GRI code found"
"136","reports/adani_ports_and_spec/2019/emerging_resilience_sustainability_report_201819.pdf","nothing found","No pages/tables found","None"
"137","reports/adani_ports_and_spec/2019/emerging_resilience_sustainability_report_201819.pdf","nothing found","No pages/tables found","None"
"138","reports/adani_power/2018/renew_reaffirming_trust_with_efficient_actions_to_nuture_and_evolve_a_wholesome_tomorrow_value_creation_report20172018.pdf","nothing found","No pages/tables found","None"
"139","reports/adani_power/2018/renew_reaffirming_trust_with_efficient_actions_to_nuture_and_evolve_a_wholesome_tomorrow_value_creation_report20172018.pdf","nothing found","No pages/tables found","None"
"140","reports/adapt_it_group/2020/integrated_annual_report_sustainability_report.pdf","nothing found","No pages/tables found","None"
"141","reports/adapt_it_group/2020/integrated_annual_report_sustainability_report.pdf","nothing found","No pages/tables found","None"
"142","reports/adapt_it_group/2020/integrated_annual_report_sustainability_report.pdf","32","1","No GRI code found"
"143","reports/adapt_it_group/2020/integrated_annual_report_sustainability_report.pdf","33","1","No GRI code found"
"144","reports/adapt_it_group/2020/integrated_annual_report_sustainability_report.pdf","34","400 SERIES (SOCIAL TOPICS)","character(0)"
"145","reports/aegean_airlines/2019/sustainable_development_report_2018.pdf","nothing found","No pages/tables found","None"
"146","reports/aegean_airlines/2019/sustainable_development_report_2018.pdf","nothing found","No pages/tables found","None"
"147","reports/aegean_airlines/2017/sustainable_development_report_2016.pdf","88","ga=2.196495404.1268217294.1495171803-","character(0)"
"148","reports/aegean_airlines/2017/sustainable_development_report_2016.pdf","89","GRI 417: Marketing and","NULL"
"149","reports/aegean_airlines/2017/sustainable_development_report_2016.pdf","89","GRI 416: Customer","NULL"
"150","reports/aegean_airlines/2017/sustainable_development_report_2016.pdf","89","GRI 412: Human Rights","NULL"
"151","reports/aegean_airlines/2017/sustainable_development_report_2016.pdf","89","GRI 403: Occupational","NULL"
"152","reports/aegean_airlines/2017/sustainable_development_report_2016.pdf","90","1","No GRI code found"
"153","reports/aegean_airlines/2017/sustainable_development_report_2016.pdf","nothing found","No pages/tables found","None"
"154","reports/aegean_airlines/2017/sustainable_development_report_2016.pdf","nothing found","No pages/tables found","None"
"155","reports/aegean_airlines/2018/sustainable_development_report_2017.pdf","96","1","No GRI code found"
"156","reports/aegean_airlines/2018/sustainable_development_report_2017.pdf","97","1","No tables to process"
"157","reports/aegean_airlines/2018/sustainable_development_report_2017.pdf","98","1","No tables to process"
"158","reports/aegean_airlines/2018/sustainable_development_report_2017.pdf","nothing found","No pages/tables found","None"
"159","reports/aegean_airlines/2018/sustainable_development_report_2017.pdf","nothing found","No pages/tables found","None"
"160","reports/aercap/2020/aercap_environmental_social_and_governance_report_2020.pdf","nothing found","No pages/tables found","None"
"161","reports/aercap/2020/aercap_environmental_social_and_governance_report_2020.pdf","nothing found","No pages/tables found","None"
"162","reports/aercap/2020/aercap_environmental_social_and_governance_report_2020.pdf","nothing found","No pages/tables found","None"
"163","reports/aercap/2020/aercap_environmental_social_and_governance_report_2020.pdf","71","1","No GRI code found"
"164","reports/aercap/2020/aercap_environmental_social_and_governance_report_2020.pdf","nothing found","No pages/tables found","None"
"165","reports/aeroporto_di_bologna/2019/2018_consolidated_disclosure_of_nonfinancial_information.pdf","81","1","No GRI code found"
"166","reports/aeroporto_di_bologna/2019/2018_consolidated_disclosure_of_nonfinancial_information.pdf","82","1","No GRI code found"
"167","reports/aeroporto_di_bologna/2019/2018_consolidated_disclosure_of_nonfinancial_information.pdf","83","1","No GRI code found"
"168","reports/aeroporto_di_bologna/2019/2018_consolidated_disclosure_of_nonfinancial_information.pdf","84","1","No GRI code found"
"169","reports/aeroporto_di_bologna/2019/2018_consolidated_disclosure_of_nonfinancial_information.pdf","85","1","No GRI code found"
"170","reports/aeroporto_di_bologna/2020/consolidated_disclosure_of_nonfinancial_information_2019.pdf","87","1","No GRI code found"
"171","reports/aeroporto_di_bologna/2020/consolidated_disclosure_of_nonfinancial_information_2019.pdf","87","2","No GRI code found"
"172","reports/aeroporto_di_bologna/2020/consolidated_disclosure_of_nonfinancial_information_2019.pdf","88","1","No GRI code found"
"173","reports/aeroporto_di_bologna/2020/consolidated_disclosure_of_nonfinancial_information_2019.pdf","89","1","No GRI code found"
"174","reports/aeroporto_di_bologna/2020/consolidated_disclosure_of_nonfinancial_information_2019.pdf","90","1","No GRI code found"
"175","reports/aeroporto_di_bologna/2020/consolidated_disclosure_of_nonfinancial_information_2019.pdf","91","1","No GRI code found"
"176","reports/af_global_limited/2020/sustainability_report_2019.pdf","23","1","No GRI code found"
"177","reports/af_global_limited/2020/sustainability_report_2019.pdf","24","1","No GRI code found"
"178","reports/af_global_limited/2020/sustainability_report_2019.pdf","nothing found","No pages/tables found","None"
"179","reports/af_global_limited/2020/sustainability_report_2019.pdf","26","1","No GRI code found"
"180","reports/af_global_limited/2020/sustainability_report_2019.pdf","nothing found","No pages/tables found","None"
"181","reports/af_poyry_ab/2020/annual_and_sustainability_report_2019.pdf","nothing found","No pages/tables found","None"
"182","reports/af_poyry_ab/2020/annual_and_sustainability_report_2019.pdf","128","1","No GRI code found"
"183","reports/af_poyry_ab/2020/annual_and_sustainability_report_2019.pdf","129","1","No GRI code found"
"184","reports/af_poyry_ab/2020/annual_and_sustainability_report_2019.pdf","nothing found","No pages/tables found","None"
"185","reports/af_poyry_ab/2020/annual_and_sustainability_report_2019.pdf","131","1","No GRI code found"
"186","reports/af_poyry_ab/2019/annual_and_sustainability_report_2018.pdf","nothing found","No pages/tables found","None"
"187","reports/af_poyry_ab/2019/annual_and_sustainability_report_2018.pdf","107","1","No GRI code found"
"188","reports/af_poyry_ab/2019/annual_and_sustainability_report_2018.pdf","108","1","No tables to process"
"189","reports/af_poyry_ab/2019/annual_and_sustainability_report_2018.pdf","109","1","No GRI code found"
"190","reports/af_poyry_ab/2019/annual_and_sustainability_report_2018.pdf","110","1","No GRI code found"
"191","reports/af_poyry_ab/2019/annual_and_sustainability_report_2018.pdf","110","2","No GRI code found"
"192","reports/afrasia_bank/2020/afrasia_bank_sustainability_report_2019.pdf","2","1","No tables to process"
"193","reports/afrasia_bank/2020/afrasia_bank_sustainability_report_2019.pdf","3","1","No tables to process"
"194","reports/afrasia_bank/2020/afrasia_bank_sustainability_report_2019.pdf","4","1","No tables to process"
"195","reports/afrasia_bank/2020/afrasia_bank_sustainability_report_2019.pdf","5","1","No tables to process"
"196","reports/afrasia_bank/2020/afrasia_bank_sustainability_report_2019.pdf","6","1","No tables to process"
"197","reports/agencia_de_aduanas_g/2019/informe_de_sostenibilidad.pdf","nothing found","No pages/tables found","None"
"198","reports/agencia_de_aduanas_g/2019/informe_de_sostenibilidad.pdf","nothing found","No pages/tables found","None"
"199","reports/agencia_de_aduanas_g/2019/informe_de_sostenibilidad.pdf","nothing found","No pages/tables found","None"
"200","reports/agencia_de_aduanas_g/2019/informe_de_sostenibilidad.pdf","nothing found","No pages/tables found","None"
"201","reports/agencia_de_aduanas_g/2019/informe_de_sostenibilidad.pdf","nothing found","No pages/tables found","None"
"202","reports/agrana_group/2019/agrana_sustainable_management_integrated_annual_report_2018|19.pdf","nothing found","No pages/tables found","None"
"203","reports/agrana_group/2019/agrana_sustainable_management_integrated_annual_report_2018|19.pdf","nothing found","No pages/tables found","None"
"204","reports/agrana_group/2019/agrana_sustainable_management_integrated_annual_report_2018|19.pdf","nothing found","No pages/tables found","None"
"205","reports/agrana_group/2019/agrana_sustainable_management_integrated_annual_report_2018|19.pdf","nothing found","No pages/tables found","None"
"206","reports/agrana_group/2019/agrana_sustainable_management_integrated_annual_report_2018|19.pdf","195","1","No tables to process"
"207","reports/agrana_group/2018/agrana_strong_and_profitable_2017|18_integrated_annual_report.pdf","nothing found","No pages/tables found","None"
"208","reports/agrana_group/2018/agrana_strong_and_profitable_2017|18_integrated_annual_report.pdf","nothing found","No pages/tables found","None"
"209","reports/agrana_group/2018/agrana_strong_and_profitable_2017|18_integrated_annual_report.pdf","nothing found","No pages/tables found","None"
"210","reports/agrana_group/2018/agrana_strong_and_profitable_2017|18_integrated_annual_report.pdf","nothing found","No pages/tables found","None"
"211","reports/agrana_group/2018/agrana_strong_and_profitable_2017|18_integrated_annual_report.pdf","183","1","No tables to process"
"212","reports/agrofair/2019/sustainability_report_2018.pdf","56","GRI 414","c(""414"", ""2"")"
"213","reports/agrofair/2019/sustainability_report_2018.pdf","56","","No GRI code found"
"214","reports/agrofair/2019/sustainability_report_2018.pdf","56","","No GRI code found"
"215","reports/agrofair/2019/sustainability_report_2018.pdf","nothing found","No pages/tables found","None"
"216","reports/agrofair/2019/sustainability_report_2018.pdf","nothing found","No pages/tables found","None"
"217","reports/agropalma_group/2018/sustainability_report_agropalma_2017.pdf","nothing found","No pages/tables found","None"
"218","reports/agropalma_group/2018/sustainability_report_agropalma_2017.pdf","nothing found","No pages/tables found","None"
"219","reports/agropalma_group/2018/sustainability_report_agropalma_2017.pdf","nothing found","No pages/tables found","None"
"220","reports/agropalma_group/2018/sustainability_report_agropalma_2017.pdf","nothing found","No pages/tables found","None"
"221","reports/agropalma_group/2018/sustainability_report_agropalma_2017.pdf","42","1","No GRI code found"
"222","reports/agropalma_group/2018/sustainability_report_agropalma_2017.pdf","42","2","No GRI code found"
"223","reports/aguas_y_aguas_de_per/2019/informe_de_gestion_y_sostenibilidad_2018.pdf","144","1","No GRI code found"
"224","reports/aguas_y_aguas_de_per/2019/informe_de_gestion_y_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"225","reports/aguas_y_aguas_de_per/2019/informe_de_gestion_y_sostenibilidad_2018.pdf","146","1","No GRI code found"
"226","reports/aguas_y_aguas_de_per/2019/informe_de_gestion_y_sostenibilidad_2018.pdf","146","2","No GRI code found"
"227","reports/aguas_y_aguas_de_per/2019/informe_de_gestion_y_sostenibilidad_2018.pdf","147","1","No GRI code found"
"228","reports/aguas_y_aguas_de_per/2019/informe_de_gestion_y_sostenibilidad_2018.pdf","nothing found","No pages/tables found","None"
"229","reports/aguas_y_aguas_de_per/2020/informe_de_gestion_y_sostenibilidad_2019.pdf","106","1","No tables to process"
"230","reports/aguas_y_aguas_de_per/2020/informe_de_gestion_y_sostenibilidad_2019.pdf","107","1","No GRI code found"
"231","reports/aguas_y_aguas_de_per/2020/informe_de_gestion_y_sostenibilidad_2019.pdf","107","2","No GRI code found"
"232","reports/aguas_y_aguas_de_per/2020/informe_de_gestion_y_sostenibilidad_2019.pdf","108","1","No GRI code found"
"233","reports/aguas_y_aguas_de_per/2020/informe_de_gestion_y_sostenibilidad_2019.pdf","109","1","No tables to process"
"234","reports/aigues_de_barcelona/2018/informe_de_sostenibilitat_2017.pdf","126","1","No GRI code found"
"235","reports/aigues_de_barcelona/2018/informe_de_sostenibilitat_2017.pdf","127","1","No tables to process"
"236","reports/aigues_de_barcelona/2018/informe_de_sostenibilitat_2017.pdf","128","1","No GRI code found"
"237","reports/aigues_de_barcelona/2018/informe_de_sostenibilitat_2017.pdf","129","1","No tables to process"
"238","reports/aigues_de_barcelona/2018/informe_de_sostenibilitat_2017.pdf","130","1","No tables to process"
"239","reports/aimplas/2020/memoria_de_sostenibilidad_2019.pdf","nothing found","No pages/tables found","None"
"240","reports/aimplas/2020/memoria_de_sostenibilidad_2019.pdf","83","1","No GRI code found"
"241","reports/aimplas/2020/memoria_de_sostenibilidad_2019.pdf","84","1","No GRI code found"
"242","reports/aimplas/2020/memoria_de_sostenibilidad_2019.pdf","nothing found","No pages/tables found","None"
"243","reports/aimplas/2020/memoria_de_sostenibilidad_2019.pdf","nothing found","No pages/tables found","None"
"244","reports/airpharm_logistics_c/2018/memoria_responsabilidad_social_corporativa_2017.pdf","99","1","No GRI code found"
"245","reports/airpharm_logistics_c/2018/memoria_responsabilidad_social_corporativa_2017.pdf","100","1","No GRI code found"
"246","reports/airpharm_logistics_c/2018/memoria_responsabilidad_social_corporativa_2017.pdf","101","1","No GRI code found"
"247","reports/airpharm_logistics_c/2018/memoria_responsabilidad_social_corporativa_2017.pdf","nothing found","No pages/tables found","None"
"248","reports/airpharm_logistics_c/2018/memoria_responsabilidad_social_corporativa_2017.pdf","nothing found","No pages/tables found","None"
"249","reports/airtex/2019/airtex_memoria_responsabilidad_social_corporativa_2018.pdf","62","1","No GRI code found"
"250","reports/airtex/2019/airtex_memoria_responsabilidad_social_corporativa_2018.pdf","nothing found","No pages/tables found","None"
"251","reports/airtex/2019/airtex_memoria_responsabilidad_social_corporativa_2018.pdf","nothing found","No pages/tables found","None"
"252","reports/airtex/2019/airtex_memoria_responsabilidad_social_corporativa_2018.pdf","nothing found","No pages/tables found","None"
"253","reports/airtex/2019/airtex_memoria_responsabilidad_social_corporativa_2018.pdf","66","1","No GRI code found"
"254","reports/airtex/2018/memoria_responsabilidad_social_corporativa_2017.pdf","nothing found","No pages/tables found","None"
"255","reports/airtex/2018/memoria_responsabilidad_social_corporativa_2017.pdf","nothing found","No pages/tables found","None"
"256","reports/airtex/2018/memoria_responsabilidad_social_corporativa_2017.pdf","80","1","No GRI code found"
"257","reports/airtex/2018/memoria_responsabilidad_social_corporativa_2017.pdf","81","1","No GRI code found"
"258","reports/airtex/2018/memoria_responsabilidad_social_corporativa_2017.pdf","82","1","No GRI code found"
"259","reports/akenerji_elektrik_ur/2019/akenerji_sustainability_report_2018.pdf","nothing found","No pages/tables found","None"
"260","reports/akenerji_elektrik_ur/2019/akenerji_sustainability_report_2018.pdf","nothing found","No pages/tables found","None"
"261","reports/akenerji_elektrik_ur/2019/akenerji_sustainability_report_2018.pdf","nothing found","No pages/tables found","None"
